Français;Sésames;Chapitre;Nombre de traits;JLPT;Kanji;id;Lecture On;Autres sens (lecture On);Lecture Kun;Autres sens (lecture Kun)
arrière;chapeau haut de forme, ordinateur, écharpe;18;13;2;裏;2040;ri;inside;ura;reverse, wrong side/ undersurface, inside/ palm, sole/ opposite/ back, rear/ lining, last half (of an inning) 
démolition;sol, broche, châle, vêtement;18;16;1;壊;193;kai;break;kowa(su), kowa(reru);break/ destroy/ tear up/ crack/ smack/ mar/ be broken/ be demolished/ fall into ruin
pitoyable;chapeau haut de forme, bouche, écharpe;18;9;1;哀;2;ai;pity, have mercy on, sympathize with;awa(re), awa(remu);pity, have mercy on, sympathize with, grief, sorrow, misery/ compassion, pathos
loin;route, poterie à couvercle, écharpe;18;13;3;遠;98;en, [on];far, distant, remote/ hard (of hearing);too(i);far, distant, remote/ hard (of hearing)
singe;meute de chiens, poterie à couvercle, écharpe;18;13;1;猿;97;en;monkey;saru;monkey, ape/ minic/ sly person/ door bolt/ fastener
première fois;manteau, poignard;18;7;3;初;944;sho;beginning, first;haji(me), haji(mete), hatsu, ui, so(meru);beginning, origin. including, and, as well as. (for) the first time/ not until. first, new. first (time). begin to 
serviette,torchon;Aucun;18;3;0;巾;428;kin;towel;-;-
linge/répartir;serviette, côté;18;5;2;布;1740;fu;cloth;nuno;cloth
accrocher;bouche, serviette;18;6;0;吊;;choo;suspend, hang, wear (sword) ;tsu(ru), tsuru(su);
voile;serviette, médiocre;18;6;1;帆;1659;han;sail;ho;sail
largeur/teinture murale, kakémono;serviette, abondance;18;12;2;幅;1768;fuku;hanging scroll, picture/ width/ counter for scrolls ;haba;width, breadth, range/ difference (in price)/ power, influence 
casquette;serviette, risque;18;12;2;帽;1867;boo;cap, headgear;-;-
rideau;serviette, esquisse;18;13;1;幕;1900;maku, 	baku;curtain/ bunting/ an act (in a play)/ end/ first rank (in sumo)/ a matter, a case ;-;-
capote;toile, soleil, rayons;18;13;0;幌;;koo;canopy, awning, hood, curtain ;horo, tobari;
brocart;métal, blanc, toile;18;16;1;錦;440;kin;brocade/ fine dress/ honors;nishiki;brocade/ fine dress/ honors
marché/ville;chapeau haut de forme, serviette;18;5;3;市;768;shi;city, town/ market;ichi;market/ fair
aînée;femme, marché;18;8;4;姉;780;shi;elder sister;ane;elder sister
poumons;viande, marché;18;9;1;肺;1615;hai;lung;-;-
plaqueminier/kaki;bois, marché;18;9;0;柿;209;-;-;kaki;persimmon
ceinture;tablier;18;10;2;帯;1301;tai;belt/ zone;o(biru), obi;belt, sash, girdle, band/ belting. wear (at the belt), carry, be armed with/ be entrusted with/ assume, take on (the character of), be tinged with/ gird up (one’s loins)
stagner;eau, ceinture;18;13;1;滞;1309;tai;stopping;todokoo(ru);stagnate/ be delayed, be left undone/ be overdue, fall into arrears
piquer/tailler/coudre;arbre, courroie, sabre;18;8;2;刺;778;shi;calling card;sa(su), sa(saru);pierce, thrust, stab, prick/ bite, sting/ pin down/ sew, stitch/ put (a runner) out/ pole (a boat)/ stick. be stuck 
système;vache, courroie, sabre;18;8;3;制;1111;sei;system, organization/ imperial command/ laws, regulation. control, govern, suppress, restrain, hold back/ establish ;-;-
fabriqué en;système, habillement;18;14;1;製;1131;sei;make, manufacture;-;-
rouler;voiture, nuage qui s’élève;18;11;4;転;1478;ten;turn, remove, change;koro(garu), koro(geru), koro(gasu), koro(bu);roll over, tumble/ lie down (on the lawn)/ be convulsed (with laughter). knock down. fall down 
art;végétal, nuage qui s’élève;18;7;2;芸;498;gei;art, craft/ artistic accomplishment/ performance, acting/ trick, stunt, feat;-;-
pluie;Aucun;18;8;5;雨;61;u;rain, fainfall;ame, [ama];rain, rainfall
nuage;nuage qui s’élève, pluie;18;12;2;雲;67;un;cloud;kumo;cloud
nuageux;soleil, nuage;18;16;2;曇;1566;don;cloud up/ fog up, become dim, be blurred/ be gloomy ;kumo(ru);cloud up/ fog up, become dim, be blurred/ be gloomy 
tonnerre;champs, nuage;18;13;1;雷;2023;rai;thunder;kaminari;thunder
givre;interaction, nuage;18;17;1;霜;1251;soo;frost;shimo;frost
ambiance/atmosphère/climat;portions, nuage;18;12;1;雰;1780;fun;fog;-;-
hiver;jambes qui marchent, glace;18;5;4;冬;1499;too;winter;fuyu;winter
cieux;plafond, saint-bernard;18;4;5;天;1472;ten;sky, air, heavens, celestial sphere, firmament/ heaven, Providence, God, Nature/ destiny/ weather/ top/ beginning ;ame, [ama];sky, heaven. Heavenly
mort en bas-âge/incliner;cieux (+penché);18;4;0;夭;;yoo, oo, ka;early death, calamity ;waka(i), wakajini, wazawai;
sorcellerie;femme, incliner;18;7;0;妖;1994;yoo;attractive, bewitching/ calamity;aya(shii);attractive, bewitching/ calamity
fertile/iode;eau, incliner;18;7;0;沃;2014;yoku;pour/ fertility;-;-
pont;bois, ange;18;16;2;橋;414;kyoo;bridge;hashi;bridge
attirant;femme, ange;18;15;0;嬌;;kyoo;attractive;namameka(shii);
debout;Aucun;18;5;4;立;2045;ritsu, [ryuu];standing;ta(tsu), ta(teru);stand, rise/ rouse oneself/ be built, be established/ go up (smoke)/ burn out/ depart/ take flight/ run high (waves)/ stick into/ be worked out/ be maintained/ save (face)/ establish oneself, begin life/ spread (rumors)/ shut (door)/ be active/ open (markets)/ be excited/ come (seasons)/ makes (a total of thirty). stand something up, set up, raise/ put up/ set on edge/ prick up (one's ears)/ build, erect/ close (a door)/ establish/ institute, enact/ lay (plans)/ map out/ set forth, lay down (a proposition)/ formulate/ render (services), perform/ look up to, respect/ be loyal to/ do justice to/ circulate (rumors)/ have (an aim)/ establish (oneself), make (a success)/ support (oneself)/ make (an oath)/ sharpen, set (a saw)/ put up (a candidate)/ make (tea)/ save (face) 
pleurer;eau, debout;18;8;1;泣;371;kyuu;cry, weep, wail, moan;na(ku);cry, weep, wail, moan
badge/visible/chapitre;debout, tôt;18;11;2;章;984;shoo;chapter/ composition/ poem/ badge, mark, sign/ design;-;-
compétition;adolescents, debout;18;20;2;競;417;kyoo, 	kei;emulate, compete with;kiso(u), se(ru);emulate, compete with/ compete, vie, bid/ sell at auction
souverain;debout, couronne, serviette;18;9;1;帝;1447;tei;emperor/ the god of heaven/ the creator;-;-
résignation;mots, souverain;18;16;0;諦;1458;tei;abandon, give up, resign to, be reconciled to;akira(meru);abandon, give up, resign to, be reconciled to
jeunesse;debout, ordinateur;18;12;2;童;1541;doo;child;warabe;child
pupille;œil, jeune;18;17;1;瞳;1546;doo;pupil of the eye;hitomi;pupil of the eye
cloche;métal, jeune;18;20;1;鐘;1008;shoo;bell, gong, chimes, carillon;kane;bell, gong, chimes, carillon
nostalgie;sentiments, jeunesse;18;15;1;憧;1003;shoo;yearn after, long for/ thirst for/ aspire to/ admire, adore;akoga(reru);yearn after, long for/ thirst for/ aspire to/ admire, adore
commerce;debout, cloche de verre, bouche, paire de jambes;18;11;3;商;982;shoo;trade, merchant, quotient;akina(u);sell, handle, trade in 
légitime;femme, antiquité;18;14;1;嫡;1375;chaku;legitimacy/ legitimate child/ legitimate wife/ direct descent;-;-
approprié;antiquité, route;18;14;3;適;1464;teki;suitable;-;-
goutte;eau, antiquité;18;14;2;滴;1463;teki;drop;shizuku, shitata(ru);drop. drip, trickle
ennemi;antiquité, chef de corvée;18;15;1;敵;1465;teki;enemy, foe, opponent;kataki;enemy/ competitor/ revenge
cuiller;Aucun;18;2;0;匕;;hi;spoon, spoon or katakana hi radical (no. 21) ;saji;
ici;arrêter, assis;18;6;0;此;;shi;this, current, next, coming, last, past ;kore, kono, koko;
époque;cuiller, tête;18;11;0;頃;669;-;-;koro;time, period. about (regarding time)
nord;assis;18;5;5;北;1875;hoku;north;kita;north
stature/dos;nord, partie du corps;18;9;3;背;1614;hai;back, behind;se, sei, somu(ku), somu(keru);act contrary to, go back on, disobey, defy, rebel against, turn one's back on. look away from, avert. back, back side/ stature, height/ ridge. stature
comparer;cuiller;18;4;2;比;1683;hi;ratio/ comparison/ an equal, a match ;kura(beru);compare, balance, contrast
descendant/frère aîné/insectes;soleil, deux individus;18;8;1;昆;672;kon;descendants, elder brother;-;-
tout;comparer, blanc;18;9;3;皆;184;kai;all, everybody, everything;mina;all, everybody, everything
mélanger;eau, descendants;18;11;2;混;676;kon;mix/ blend/ adulterate/ confound, confuse ;ma(jiru), ma(zaru), ma(zeru), ko(mu);mix, blend, mingle/ include, let in on. be mixed, be blended/ mingle with 
harmonie;mots, tout;18;16;0;諧;195;kai;harmony, order, suitability;-;-
soif;eau, dormeur;18;11;1;渇;236;katsu;thirst;kawa(ku);be thirsty/ feel dry/ dry up, be parched
audience;mots, dormeur;18;15;1;謁;85;etsu;audience (with a ruler);-;-
brun;vêtement, dormeur;18;13;1;褐;240;katsu;woolen kimono;-;-
gronder/rauque;bouche, dormeur;18;11;1;喝;235;katsu;scold, get hoarse;-;-
réprimander;bouche, dormeur sans mur(cuiller);18;5;0;叱;830;shitsu;scold, reprove;shika(ru);scold, reprove
puéraire,kudzu;végétal, dormeur;18;12;0;葛;238;katsu;arrowroot, a strong-fiber vine;kuzu;arrowroot/ arrowroot starch
odeur;dormeur sans soleil;18;4;0;匂;1580;-;-;nio(u);be fragrant, smell/ stink/ glow, be bright
délicieux/très bien/quintessence, contenu;cuiller, journée;18;6;1;旨;770;shi;relish, show a liking for ;mune;purport/ principle/ instructions/ will, thinking
graisse;chair, délicieux;18;10;2;脂;791;shi;fat, rouge;abura;fat, grease, tallow, blubber, lard, suet
pèlerinage;mots, délicieux;18;13;0;詣;491;kei;visit a temple or shrine;mou(deru);go/ come/ call, visit/ visit a shrine
I;vieux professeur, couronne, assis;18;7;1;壱;42;ichi;one;-;-
tous les;mère, couché;18;6;5;毎;1895;mai;each, every, at an interval of, whenever. Apiece;-;-
prompt;tous les, chef de corvée;18;10;1;敏;1734;bin;agility/ alertness;-;-
prune;bois, tous les;18;10;1;梅;1624;bai;plum, plum tree;ume;plum, plum tree
mer;eau, tous les;18;9;4;海;182;kai;sea, ocean;umi;sea, ocean
mendier;couché, hameçon;18;3;0;乞;650;-;-;ko(u);ask, request/ invite/ pray for/ beg, solicit
sécheresse;rosée, mendier;18;11;2;乾;259;kan;heaven/ emperor;kawa(ku), kawa(kasu);dry, dry up/ be dry/ desiccate
jusqu’à;mendier, route(+goutte);18;5;0;迄;;kitsu;until, up to, as far as, to the extent ;made, oyo(bu);
abdomen;partie du corps, repli;18;13;3;腹;1771;fuku;belly, stomach ;hara;abdomen, belly, bowels, stomach/  heart, mind/ intention/ courage, spirit, pluck/ anger/ womb/ thickest or widest part 
duplication/compliqué;vêtement, repli;18;14;2;複;1772;fuku;double, compound, composite, multiple;-;-
manquer/bâiller;Aucun;18;4;3;欠;506;ketsu;lack, gap;ka(keru), ka(ku);lack/ break, crack, chip/ neglect/ fail in/ omit/ be broken (off), be chipped/ lack, be missing/ wane/ be vacant (a position)
souffler;bouche, manquer;18;7;3;吹;1082;sui;breathe, blow/ play (a wind instrument)/ emit/ smelt/ mint/ brag ;fu(ku);breathe, blow/ play (a wind instrument)/ emit/ smelt/ mint/ brag 
cuisiner;feu, bâiller;18;8;1;炊;1084;sui;cook, boil;ta(ku);cook, boil
chanson;possible, bâiller;18;14;4;歌;159;ka;sing, recite, chant, carol;uta, uta(u);sing, recite, chant, carol/ poem, tanka, ballad, poetry/ singing
mou;voiture, bailler;18;11;2;軟;1575;nan;soft;yawa(raka), yawa(rakai);soft
suivant;glace, manquer;18;6;3;次;809;ji, 	shi;order, sequence/ times/ next/ below ;tsu(gu), tsugi;rank next to, come later. next/ stage station, stage
épine;végétal, suivant;18;9;0;茨;44;-;thorn, brier;[ibara];thorn, brier
capital/essentiel,important;suivant, monnaie;18;13;3;資;799;shi;resources, capital, funds/ materials/ data/ quality, disposition/ help ;-;-
figure,aspect des choses;suivant, femme;18;9;1;姿;784;shi;figure, form, shape/ appearance, attire/ posture/ oneself/ portrait/ aspect;sugata;figure, form, shape/ appearance, attire/ posture/ oneself/ portrait/ aspect
consulter;mots, suivant, bouche;18;16;1;諮;805;shi;consult with;haka(ru);consult with
dédommagement;monnaie, muselière;19;15;1;賠;1629;bai;indemnify;-;-
(agri)culture;sol, muselière;19;11;1;培;1625;bai;cultivate, foster;tsuchika(u);cultivate, foster
disséquer;muselière, sabre;19;10;1;剖;1863;boo;divide;-;-
son;debout, langue qui s’agite dans la bouche;19;9;4;音;127;on, 	in;sound/ noise/ pronunciation/ tone;oto, ne;sound, noise, roar/ fame/ tone, note, voice, chirping
sombre;soleil, son;19;13;3;暗;14;an;dark;kura(i);dark, gloomy, somber/ dim, faint/ ignorant 
rime;son, employé;19;19;1;韻;57;in;rhyme/ elegance/ tone;-;-
connaissances;mots, tintamarre;19;19;3;識;827;shiki;know, discriminate, write;-;-
miroir;métal, confins;19;19;1;鏡;416;kyoo;mirror/ speculum/ barrelhead/ round rice-cake offering;kagami;mirror/ speculum/ barrelhead/ round rice-cake offering
frontière;terre, confins;19;14;2;境;413;kyoo, [kei];boundary/ region/ condition/ stage;sakai;boundary, border, frontier/ place
décédé;chapeau haut de forme, crochet;19;3;3;亡;1852;boo, [moo];my late, the late/ dying/ being destroyed ;na(-i);the late, the deceased
aveugle;œil, périr;19;8;1;盲;1943;moo;blindness;-;-
insensé;femme, périr;19;6;1;妄;1942;moo, 	boo;without authority, without reason, arbitrarily, unnecessarily, indiscriminately, recklessly;-;-
brutalité;végétal, périr, fleuve;19;9;2;荒;619;koo;rough, rude, wild, harsh, violent, gruff, fierce ;ara(i), a(reru), a(rasu);rough, rude, wild, harsh, violent, gruff, fierce. be ruined, become stormy/ tear around/ get chapped. lay waste 
ambition;lune, mourir, roi;19;11;3;望;1865;boo, 	moo;full moon/ hope;nozo(mu);desire/ aspire to/ expect, hope for/ like, choose/ see, command (a view of)
direction/moi,vous,il,….(poli);chapeau haut de forme, emballé;19;4;4;方;1829;hoo;direction, way/ side/ part/ square/ way, method, means, scheme, process ;kata;direction/ settlement/ person
entraver;femme, boussole;19;7;1;妨;1856;boo;disturb, prevent, hamper, hinder, obstruct;samata(geru);disturb, prevent, hamper, hinder, obstruct
garçon;terre, boussole;19;7;0;坊;1855;boo, [boQ];priest's residence/ (Buddhist) priest/ boy;-;-
parfum;végétal, boussole;19;7;1;芳;1831;hoo;fragrance;kanba(shii);fragrant, balmy, favorable
gras;chair, boussole;19;8;1;肪;1860;boo;fat;-;-
rendre visite;mots, boussole;19;11;3;訪;1845;hoo;visit, call on;otozu(reru), tazu(neru);visit, call on. look up
libérer;boussole, chef de corvée;19;8;3;放;1836;hoo;set free, release, fire, shoot/ circulate (rumors)/ emit, give out/ set fire to/ banish ;hana(su), hana(tsu), hana(reru), hoo(ru);set free, release, fire, shoot/ circulate (rumors)/ emit, give out/ set fire to/ banish. let go, disengage/ liberate. free oneself from. throw, hurl, toss/ give up/ neglect/ let alone 
dans;boussole, parapluie, glace;19;8;1;於;;o, yo;at, in, on, as for ;oi(de), o(keru), aa, yori;
violent;eau, blanc, boussole, chef de corvée;19;16;1;激;504;geki;get excited, be agitated, be enraged, be exasperated, chafe/ urge, encourage, incite;hage(shii);violent, vehement, furious, severe, acute, intense, extreme, passionate, heated, stormy (applause)/ tempestuous (temperament)/ mighty
déshabiller/s’enfuir;compagnon, diable;19;11;1;脱;1329;datsu;removing;nu(gu), nu(geru);take off (clothes)/ undress. come off, slip off, slip down
thèse;mots, diable;19;14;3;説;1163;setsu, [zei];opinion, view, assertion/ comment/ theory/ rumor, report/ version  ;to(ku);explain, expound, advocate, preach, teach, persuade
pointu;métal, diable;19;15;2;鋭;76;ei;sharpness/ edge/ (sharp) weapon/ picked men (soldiers), the pick;surudo(i);pointed, sharp/ violent, scathing/ keen (sense)/ sharp (ear)/ penetrating (eye)/ shrewd
anciennement;cornes, cerveau, langue qui s’agite dans la bouche;19;11;0;曽;1234;soo, [zo];once, before, formerly/ ever, never(neg.)/ former, ex-;-;-
augmenter;terre, anciennement;19;14;3;増;1256;zoo;increase;ma(su), fu(eru), fu(yasu);increase, add to, augment, gain/ promote (health)/ enlarge, extend 
cadeau;monnaie, augmenter;19;18;2;贈;1259;zoo, [soo];present (something);oku(ru);send, give to, award to, confer on
est;soleil, arbre;19;8;5;東;1504;too;east;higashi;east
faîte/corps de bâtiment;bois, orient;19;12;1;棟;1520;too;ridge, ridgepole/ counter for buildings;mune, [muna];ridge, ridgepole/ counter for buildings
gelé;glace, orient;19;10;2;凍;1508;too;freeze, be frozen over/ congeal;koo(ru), kogo(eru);freeze, be frozen over/ congeal. freeze, be chilled, be frozen
écrouir;métal, orient;19;16;1;錬;2109;ren;refine (metals)/ drill, train/ polish (sentences) ;-;-
enceinte;femme, porteur;19;7;1;妊;1588;nin;become pregnant/ be pregnant/ be filled with;-;-
tribunaux;étirer, porteur;19;7;1;廷;1439;tei;imperial court, government office;-;-
débauche;eau, vautour, porteur;19;11;0;淫;53;in;lewdness, licentiousness;mida(ra);licentious, indecent, lewd
sol;sol, scorpion;20;6;4;地;1355;chi, 	ji;earth, land, ground, the surface of the earth/ soil/ place, region/ territory/ room, space/ position/ site/ foundation. texture, weave, fabric/ field (of a flag)/ disposition/ respectability/ accompaniment/ narrative part/ fact;-;-
étang;eau, scorpion;20;6;3;池;1356;chi;pond, pool, cistern, basin, reservoir;ike;pond, pool, cistern, basin, reservoir
insecte/reptiles/batraciens;milieu, couché;20;6;2;虫;1378;chuu;worm, vermin, bug, insect/ temper/ nervousness, peevishness/ bad company ;mushi;worm, vermin, bug, insect/ temper/ nervousness, peevishness/ bad company 
luciole;école, insecte;20;11;1;蛍;484;kei;firefly;hotaru;firefly
serpent;insecte, maison, cuiller;20;11;1;蛇;854;ja, 	da;snake, serpent/ hard drinker;hebi;snake
arc-en-ciel;insecte, fabriquer;20;9;1;虹;1582;-;-;niji;rainbow
papillon;insecte, génération;20;15;1;蝶;;choo;butterfly;-;
célibataire/Allemagne;insecte, meute de chiens;20;9;1;独;1555;doku;alone;hito(ri);alone, on one's own
ver à soie;insecte, cieux;20;10;1;蚕;748;san;silk worm;kaiko;silk worm
vent;vent, goutte, insecte;20;9;4;風;1764;fuu, [fu];wind/ air, look, appearance, bearing, mien, deportment/ manners, custom/ trend, tone, tendency/ way, fashion, manner/ style, type/ disposition, turn of mind/ kind/ vein/ state, condition ;kaze, [kaza];wind, storm, breeze, draft, current of air/ a cold 
soi;Aucun;20;3;1;己;557;ko, 	ki;sixth;onore;oneself, myself, yourself
provoquer;courir, soi;20;10;4;起;317;ki;get up, rise, awake/ occur/ (a fire) is kindled ;o(kiru), o(koru), o(kosu);get up, rise, awake/ occur/ (a fire) is kindled/ raise up, set up, pick up (someone)/ open, begin/ promote, organize/ generate/ get sick/ awaken/ establish/ plow/ kindle (a fire)/ happen/ break out/ originate in/ rise, flourish, spring up/ be produced/ have an attack of
reine;femme, serpent;20;6;1;妃;1685;hi;queen, princess;-;-
réforme;soi, chef de corvée;20;7;2;改;178;kai;change, modify, convert/ renew, renovate/ reform, mend, rectify/ amend, revise, improve/ examine, inspect, search;arata(meru), arata(maru);change, modify, convert/ renew, renovate/ reform, mend, rectify/ amend, revise, improve/ examine, inspect, search/ be renewed, be renovated/ be modified, be revised/ be improved, be reformed/ be ceremonious
inscrire;mots, serpent;20;10;3;記;316;ki;account, narrative, history, annals/ remembering/ writing/ the Kojiki;shiru(su);write down/ inscribe/ mention, give an account of
emballer;emballage, serpent;20;5;2;包;1830;hoo;wrap, pack up/ cover with/ dress in/ conceal ;tsutsu(mu);wrap, pack up/ cover with/ dress in/ conceal 
placenta;partie du corps, amballer;20;9;1;胞;1839;hoo;theca, sac, sheath, case/ placenta;-;-
canon;pierre, emballer;20;10;1;砲;1843;hoo;gun, cannon, battery/ gunnery, ordnance, artillery ;-;-
bulle;eau, emballer;20;8;1;泡;1838;hoo;bubble, foam, froth, scum, suds ;awa;bubble, foam, froth, scum, suds 
tortue/fissure;emballé, soleils, hameçon;20;11;1;亀;324;ki;turtle, tortoise;kame;turtle, tortoise
électricité;tonnerre, hameçon;20;13;5;電;1483;den;electricity;-;-
dragon;debout, électrique;20;10;1;竜;2052;ryuu;dragon/ imperial;tatsu;dragon
cascade;eau, dragon;20;13;1;滝;1317;-;-;taki;waterfall/ rapids, cascade
panier;bambou, dragon;20;22;0;籠;2124;roo;be crowed/ requiring (a lot of work);kago, ko(moru);cage, coop/ basket/ seclude oneself, be confined in/ be implied/ be stuffy, be filled with (smoke)
porc;chair, truie;20;11;1;豚;1562;ton;hog;buta;pig, hog, swine
poursuivre;truie, route;20;10;1;逐;1368;chiku;drive away/ chase/ drive (cattle)/ follow, pursue (pleasure);-;-
réussi;poursuivre, cornes;20;12;1;遂;1090;sui;accomplish, attain, commit (suicide);to(geru);accomplish, attain, commit (suicide)
maison;maison, truie;20;10;4;家;147;ka, 	ke;house;ie, ya;house, home, residence/ housing/ family, household/ family name/ fortune/ shop, store, seller/ dealer
bru;femme, maison;20;13;1;嫁;154;ka;marry (a man)/ be married to/ blame;yome, totsu(gu);marry off/ get married/ bride, young wife, daughter-in law
écrasant/Australie;grand, lutteur sumo, couronne,;20;14;1;豪;656;goo;great, powerful, excelling;-;-
pas,négation;Aucun;20;4;0;勿;;mochi, butsu, botsu;not, must not, do not, be not ;naka(re), nashi;
objet;vache, pas;20;8;4;物;1777;butsu, 	motsu;thing, object, matter/ somebody, something, success/ reason ;mono;thing, object, matter/ somebody, something, success/ reason 
variations/échanges/facile/caméléon;langue qui s’agite dans la bouche, faisceaux;20;8;3;易;78;i, 	eki;easiness/ divination, augury, fortunetelling;yasa(shii);easy, simple, light/ habitual
je reçois de vous;monnaie, caméléon;20;15;1;賜;804;shi;deign to, grant, give, bestow on, honor with ;tamawa(ru);deign to, grant, give, bestow on, honor with 
intestin;partie du corps, lumière matinale;20;13;1;腸;1409;choo;intestines, bowels, entrails/ digestive system in lower animals;-;-
aire/champ;terrain, lumière solaire;20;12;4;場;1020;joo;place, grounds, links, range, course, track, ring;ba;place, site/ space, seat/ scene/ occasion, situation
eau chaude;eau, lumière solaire;20;12;2;湯;1521;too;hot water;yu;hot water, hot bath, hot spring
mouton;Aucun;20;6;1;羊;1993;yoo;sheep;hitsuji;sheep
beauté;grand, mouton;20;9;3;美;1705;bi;beauty, grace, charm;utsuku(shii);beautiful, lovely, fine, good-looking/ picturesque/ sweet (voice), noble, pure
océan;eau, mouton;20;9;4;洋;1995;yoo;ocean, sea, channel. foreign, Western, European;-;-
apparence/Monsieur,Madame(honorifique);arbre, mouton, irrigation;20;14;3;様;2005;yoo;way, manner, method/ kind, class/ (to that) effect ;sama;situation, circumstances, condition. Mr., Mrs., Messrs., Mme., Miss, Master 
détaillé;mots, mouton;20;13;1;詳;1000;shoo;full, detailed, minute, accurate/ versed in, well-informed on;kuwa(shii);full, detailed, minute, accurate/ versed in, well-informed on
frais;poisson, mouton;20;17;1;鮮;1195;sen;Korea;aza(yaka);vivid, clear, brilliant, fresh, graceful, splendid, beautiful
accompli/pluriel respectueux;terre, mouton, route;20;12;3;達;1328;tatsu;reach, arrive at, attain/ amount to/ become expert, be versed in/ accomplish/ notify;-;-
envieux;mouton, eau, manquer;20;13;0;羨;1183;sen;be envious, be jealous, covet;uraya(mu), uraya(mashii);be envious, be jealous, covet/ enviable
différence;laine, métier;20;10;3;差;688;sa;difference, variation/ discrepancy/ margin/ balance/ remainder (in subtraction) ;sa(su);raise (the hands)/ stretch out( the hands in dancing)/ put up (an umbrella)/ carry (on the shoulder)/ build (a hut)/ stretch (a rope)/ graft (trees)/ carry (in the belt)/ lift up/ offer. (the sun) shines/ appear on the surface
enfiler/arrivée;laine, yeux;20;12;4;着;1374;chaku, [jaku];arrival, finish (in a race)/ race counter ;ki(ru), ki(seru), tsu(ku), tsu(keru);put on, wear. clothe, dress/ cover, plate, coat, gild/ veneer/ blame for, impute a crime to. arrive at, reach, attain to
unique;bouche, dindon;20;11;1;唯;1970;yui, [i];only, merely, solely, simply ;-;-
qui;mots, dindon;20;15;0;誰;1332;-;-;dare;who
carboniser/foyer (optique);dinde, four;20;12;1;焦;991;shoo;burn, scorch, singe, char;ko(geru), ko(gasu), ko(gareru), ase(ru);burn, scorch, singe, char. pine for. yearn for/ be deeply in love with/ be scorched. be in a hurry, be hasty, be impatient, be overzealous 
récif;pierre, carboniser;20;17;1;礁;1007;shoo;sunken rock;-;-
rassemblement;dinde, arbre;20;12;4;集;901;shuu;collection, gathering;atsu(maru), atsu(meru), tsudo(u);meet, assemble, congregate/ swarm, flock or gather together/ be collected, be gathered together/ converge. gather, collect/ focus (something on) 
quasi;glace, dinde;20;10;1;准;935;jun;quasi-, semi-, associate;-;-
progresser;route, dinde;20;11;3;進;1060;shin;advancing;susu(mu), susu(meru);advance, proceed, progress/ be promoted/ be in an advanced stage/ (watches) gain/ feel like (doing). move forward/ set (watches) ahead/ promote, elevate/ stimulate/ speed up/ present 
divers;neuf, arbre, dinde;20;14;3;雑;742;zatsu, 	zoo;miscellany/ miscellaneous;-;-
femelle;ici, dinde;20;14;1;雌;802;shi;female;me, mesu;female
demi-;eau, dinde, aiguille;20;13;2;準;940;jun;apply correspondingly, correspond to, be proportionate to, conform to ;-;-
dérober;grand homme, dinde, colle;20;14;1;奪;1330;datsu;take by force, snatch away, oust, deprive of, disposess, plunder, usurp/ absorb (attention)/ fascinate;uba(u);take by force, deprive of, disposess
excitation;grand homme, dinde, rizière;20;16;1;奮;1784;fun;be invigorated, be spirited, flourish;furu(u);be invigorated, be spirited, flourish
certitude;pierre, poulailler(maison, dinde);20;15;3;確;222;kaku;firm, tight, hard, solid;tashi(ka), tashi(kameru);ascertain, confirm, verify/ sure, positive/ accurate/ reliable/ sound, firm/ clear, evident/ genuine/ able, competent/ sober, sane/ I think/ if I remember right/ certainly, doubtless/ for certain
sédiment;terrain, dinde;20;11;0;堆;1303;tai;piled high;-;-
castanopis/frapper/maillet/colonne vertébrale;arbre, dinde;20;12;1;椎;1428;tsui;hammer, mallet;-;-
midi/signe du cheval;Aucun;20;4;5;午;578;go;11 a.m.-1 p.m./ 7th zodiac sign;-;-
autorisation;mots, cheval;20;11;3;許;389;kyo;permit, approve/ authorize/ acknowledge/ confide in/ forgive, pardon/ release, acquit/ overlook ;yuru(su);permit, approve/ authorize/ acknowledge/ confide in/ forgive, pardon/ release, acquit/ overlook 
ravissant;pégase, bailler;20;15;1;歓;280;kan;joy, pleasure;-;-
pouvoir;arbre, pégase;20;15;3;権;536;ken, [gon];authority, power, rights, concession;-;-
perspective;pégase, voir;20;18;3;観;288;kan;look, appearance/ spectacle/ condition/ view, outlook;-;-
plume;Aucun;20;6;2;羽;60;u;feather;ha, hane;feather/ plumage, wing/ blade, paddle, fan
apprendre;plumes, blanc;20;11;4;習;897;shuu;learn, be taught, take lessons, practice;nara(u);learn, be taught, take lessons, practice
celui d’après;plumes, vase;20;11;2;翌;2017;yoku;next, following;-;-
jour de la semaine;jour, plumes, dinde;20;18;4;曜;2012;yoo;day of the week/ light/ shining;-;-
rincer;eau, plumes, dinde;20;17;2;濯;1324;taku;wash, pour on, rinse;-;-
dixit;enceinte, un;21;4;0;曰;;etsu;say, reason, pretext, history, past, flat sun radical (no. 73) ;iwa(ku), notama(u), notama(waku), kokoni;
embarras;enceinte, arbre;21;7;3;困;671;kon;be distressed be in trouble, be destitute, be embarrassed, be perplexed, be annoyed ;koma(ru);be distressed be in trouble, be destitute, be embarrassed, be perplexed, be annoyed 
